closing_date,year,period_type,dividend_value
2023-07-18,2022,full year,0.0
2022-07-15,2021,full year,0.0
2021-07-13,2020,full year,0.0
2020-07-08,2019,full year,0.0
2019-07-12,2018,full year,0.0
2018-07-09,2017,full year,0.0
2017-07-10,2016,full year,0.0
,2015,full year,0.0
,2014,full year,0.0
,2013,full year,0.0
2013-05-06,2012,full year,0.0
2012-05-04,2011,full year,0.0
2011-05-05,2010,full year,0.0
